"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\FuzzLoginTest.java","3","9","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"2","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\FuzzLoginTest.java","3","16","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"3","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\FuzzLoginTest.java","3","34","Unnecessary return statement","Code Style","UnnecessaryReturn"
"1","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\HashFuzzerTest.java","3","5","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"2","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\HashFuzzerTest.java","3","33","Unnecessary return statement","Code Style","UnnecessaryReturn"
"1","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\src\shiptrack\Main.java","3","6","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"2","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\src\shiptrack\Main.java","3","20","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"3","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\src\shiptrack\Main.java","3","36","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"4","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\src\shiptrack\Main.java","3","39","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"5","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\src\shiptrack\Main.java","3","48","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\src\shiptrack\MyLogger.java","3","10","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"1","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\src\shiptrack\ShipmentService.java","3","95","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"2","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\src\shiptrack\ShipmentService.java","3","146","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"3","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\src\shiptrack\ShipmentService.java","3","196","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"1","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\test\shiptrack\LoginJUnitTest.java","1","37","The JUnit 4 test method name 'correctUsernameAndPassword_loginSucceeds' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"2","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\test\shiptrack\LoginJUnitTest.java","1","45","The JUnit 4 test method name 'correctUsernameAndWrongPassword_loginFails' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"3","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\test\shiptrack\LoginJUnitTest.java","1","51","The JUnit 4 test method name 'wrongUsernameAndCorrectPassword_loginFails' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"1","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\test\shiptrack\RegisterCustomerJUnitTest.java","1","34","The JUnit 4 test method name 'validInputs_customerIsSaved' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"2","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\test\shiptrack\RegisterCustomerJUnitTest.java","1","49","The JUnit 4 test method name 'invalidId_customerIsNotSaved' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"3","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\test\shiptrack\RegisterCustomerJUnitTest.java","1","62","The JUnit 4 test method name 'invalidContact_customerIsNotSaved' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
"4","shiptrack","C:\Users\ahmad\Downloads\ShipTrack_Final_Best\ShipTrack_Final_Best\test\shiptrack\RegisterCustomerJUnitTest.java","1","75","The JUnit 4 test method name 'duplicateUsername_secondCustomerIsNotSaved' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","MethodNamingConventions"
